	set	A alternatíva	B alternatíva	resp
Ár	1	600 Ft	900 Ft	B alternatíva
Idő	1	6 perc	18 perc	B alternatíva
Zsúfoltság	1	Van ülőhely	Nincs ülőhely, de állóhely van	B alternatíva
Ár	2	600 Ft	900 Ft	A alternatíva
Idő	2	6 perc	18 perc	A alternatíva
Zsúfoltság	2	Nincs ülőhely, de állóhely van	Kevés állóhely van	A alternatíva
Ár	3	600 Ft	900 Ft	B alternatíva
Idő	3	6 perc	18 perc	B alternatíva
Zsúfoltság	3	Nincs ülőhely, de állóhely van	Kevés állóhely van	B alternatíva
Ár	4	600 Ft	900 Ft	A alternatíva
Idő	4	6 perc	18 perc	A alternatíva
Zsúfoltság	4	Nincs ülőhely, de állóhely van	Kevés állóhely van	A alternatíva
Ár	5	600 Ft	900 Ft	B alternatíva
Idő	5	6 perc	18 perc	B alternatíva
Zsúfoltság	5	Nincs ülőhely, de állóhely van	Kevés állóhely van	B alternatíva
Ár	6	600 Ft	900 Ft	A alternatíva
Idő	6	6 perc	18 perc	A alternatíva
Zsúfoltság	6	Nincs ülőhely, de állóhely van	Kevés állóhely van	A alternatíva
Ár	7	600 Ft	900 Ft	B alternatíva
Idő	7	6 perc	18 perc	B alternatíva
Zsúfoltság	7	Nincs ülőhely, de állóhely van	Kevés állóhely van	B alternatíva
Ár	8	600 Ft	900 Ft	A alternatíva
Idő	8	6 perc	18 perc	A alternatíva
Zsúfoltság	8	Nincs ülőhely, de állóhely van	Kevés állóhely van	A alternatíva
